🔍 Recherche des prêts avec loandateend inconnu...
-----------------------------------------------
playerid	fullname	loandateend	teamname
219771	Gabriel Augusto Xavier	160785	FIFPro
204738	Renato Ibarra	160937	Inconnu
203834	Ju Tae Yun	161151	Sangju Sangmu
199231	Tae Hwan Kim	161151	Korea Republic
214217	Benjamín Vidal	161151	CD Palestino
255307	Braian Martínez	161151	Club Atlético Aldosivi
214462	Iván Arboleda	161151	Newell's Old Boys
255197	Nicolás Morgantini	161151	Club Atlético Platense
272952	David Štípek	161151	Free Agents
258291	Manuel Llano	161151	Godoy Cruz
215267	Tobías Figueroa	161151	Unión Española
181030	Lucas Rios	161151	EC Vitória
224304	Łukasz Moneta	161151	Zagłębie Lubin
240224	Ronald Escobar	161151	San Luis de Quillota
199231	Tae Hwan Kim	161151	Sangju Sangmu
202981	Jin Ho Choi	161151	Sangju Sangmu
234097	Renato Tarifeño	161151	Audax Italiano
201445	Douglas Bacelar	161151	Associação Chapecoense de Futebol
225915	Agustín Fontana	161151	Defensa y Justicia
244757	Augusto Schott	161151	Club Atlético Platense
214111	Sergio Otálvaro	161151	Olimpia
240576	Mauro Ortíz	161151	Club Atlético Patronato
244448	Juan Sánchez Purata	161151	Atlanta United FC
236989	Spencer Richey	161151	Free Agents
231222	Fabián Henríquez	161151	Club Atlético Huracán
237283	Nicolás Reniero	161151	Argentinos Juniors
256502	Aaron Molinas	161151	Club Atlético Tigre
224344	Andrés Vilches	161151	Uni. Católica
207811	Reum Yeo	161151	Sangju Sangmu
199236	Chul Hong	161151	Sangju Sangmu
199236	Chul Hong	161151	Korea Republic
232709	Damian Batallini	161151	Club Atlético Independiente
214662	Reinaldo Lenis	161151	Atl. Nacional
211457	Aaron Olanare	161151	Amkar Perm
214016	Hárrison Mojica	161151	Atl. Bucaramanga
257549	Lucas Brochero	161151	Arsenal de Sarandí
231212	Esteban Rolón	161151	Club Atlético Belgrano de Córdoba
220617	Rafael Thyere Marques	161151	Associação Chapecoense de Futebol
159418	Marcos Arouca	161151	Clube Atlético Mineiro
265603	Rodrigo dos Santos	161151	Free Agents
236859	Harrison Mancilla	161151	Club Atlético Sarmiento
226787	Santiago Rosales	161151	Free Agents
241176	Lucas Vera	161151	Club Atlético Huracán
246108	Alexander Díaz	161151	Arsenal de Sarandí
248555	Edwin Mosquera	161151	Defensa y Justicia
254585	Julián Palacios	161151	Club Atlético Banfield
233034	Juan Andrada	161151	Club Atlético Banfield
232765	Tomás Molina	161151	Central Córdoba
235987	Iván Gómez	161151	Club Atlético Platense
260676	Thomaz Santos	161151	Free Agents
260128	Yago Fernandes	161151	Clube Atlético Mineiro
252706	Elías López	161151	Godoy Cruz
257154	Mariano Peralta	161151	Club Atlético Unión
